date,storeId,productId,productName,category,unitsSold
2026-03-03,store_freshmart_01,prod_milk_01,Fresh Organic Whole Milk (1L),DAIRY,40
2026-03-03,store_freshmart_01,prod_bread_01,Artisan Whole Wheat Bread,BAKERY,30
2026-03-03,store_freshmart_01,prod_croissant_01,Butter Croissants 4-Pack,BAKERY,24
2026-03-03,store_freshmart_01,prod_tomatoes_01,Organic Roma Tomatoes (1kg),PRODUCE,37
2026-03-03,store_freshmart_01,prod_chicken_01,Fresh Chicken Breast (500g),MEAT,23
2026-03-03,store_freshmart_01,prod_yogurt_01,Greek Style Yogurt (500g),DAIRY,19
2026-03-03,store_freshmart_01,prod_rice_01,Basmati Rice (1kg),PANTRY,32
2026-03-03,store_freshmart_01,prod_apples_01,Royal Gala Apples (1kg),PRODUCE,28
2026-03-03,store_bakerydelight_02,prod_milk_01,Fresh Organic Whole Milk (1L),DAIRY,37
2026-03-03,store_bakerydelight_02,prod_bread_01,Artisan Whole Wheat Bread,BAKERY,32
2026-03-03,store_bakerydelight_02,prod_croissant_01,Butter Croissants 4-Pack,BAKERY,20
2026-03-03,store_bakerydelight_02,prod_tomatoes_01,Organic Roma Tomatoes (1kg),PRODUCE,31
2026-03-03,store_bakerydelight_02,prod_chicken_01,Fresh Chicken Breast (500g),MEAT,25
2026-03-03,store_bakerydelight_02,prod_yogurt_01,Greek Style Yogurt (500g),DAIRY,14
2026-03-03,store_bakerydelight_02,prod_rice_01,Basmati Rice (1kg),PANTRY,22
2026-03-03,store_bakerydelight_02,prod_apples_01,Royal Gala Apples (1kg),PRODUCE,24
2026-03-04,store_freshmart_01,prod_milk_01,Fresh Organic Whole Milk (1L),DAIRY,35
2026-03-04,store_freshmart_01,prod_bread_01,Artisan Whole Wheat Bread,BAKERY,31
2026-03-04,store_freshmart_01,prod_croissant_01,Butter Croissants 4-Pack,BAKERY,19
2026-03-04,store_freshmart_01,prod_tomatoes_01,Organic Roma Tomatoes (1kg),PRODUCE,28
2026-03-04,store_freshmart_01,prod_chicken_01,Fresh Chicken Breast (500g),MEAT,28
2026-03-04,store_freshmart_01,prod_yogurt_01,Greek Style Yogurt (500g),DAIRY,19
2026-03-04,store_freshmart_01,prod_rice_01,Basmati Rice (1kg),PANTRY,27
2026-03-04,store_freshmart_01,prod_apples_01,Royal Gala Apples (1kg),PRODUCE,22
2026-03-04,store_bakerydelight_02,prod_milk_01,Fresh Organic Whole Milk (1L),DAIRY,36
2026-03-04,store_bakerydelight_02,prod_bread_01,Artisan Whole Wheat Bread,BAKERY,31
2026-03-04,store_bakerydelight_02,prod_croissant_01,Butter Croissants 4-Pack,BAKERY,18
